id,embedding_index,image_url,clip_success
114684,75,https://openaccess-cdn.clevelandart.org/1934.29/1934.29_web.jpg,True
142298,76,https://openaccess-cdn.clevelandart.org/1966.13/1966.13_web.jpg,True
129300,77,https://openaccess-cdn.clevelandart.org/1952.17/1952.17_web.jpg,True
145473,78,https://openaccess-cdn.clevelandart.org/1971.102/1971.102_web.jpg,True
149105,79,https://openaccess-cdn.clevelandart.org/1977.37.1/1977.37.1_web.jpg,True
149107,80,https://openaccess-cdn.clevelandart.org/1977.37.3/1977.37.3_web.jpg,True
108541,81,https://openaccess-cdn.clevelandart.org/1926.247/1926.247_web.jpg,True
149108,82,https://openaccess-cdn.clevelandart.org/1977.37.4/1977.37.4_web.jpg,True
173641,83,https://openaccess-cdn.clevelandart.org/1915.722/1915.722_web.jpg,True
97165,84,https://openaccess-cdn.clevelandart.org/1916.801/1916.801_web.jpg,True
145960,85,https://openaccess-cdn.clevelandart.org/1971.166/1971.166_web.jpg,True
170235,86,https://openaccess-cdn.clevelandart.org/2012.41/2012.41_web.jpg,True
132367,87,https://openaccess-cdn.clevelandart.org/1954.834/1954.834_web.jpg,True
128072,88,https://openaccess-cdn.clevelandart.org/1950.89/1950.89_web.jpg,True
146416,89,https://openaccess-cdn.clevelandart.org/1972.119/1972.119_web.jpg,True
130457,90,https://openaccess-cdn.clevelandart.org/1953.212/1953.212_web.jpg,True
99445,91,https://openaccess-cdn.clevelandart.org/1919.1018/1919.1018_web.jpg,True
131820,92,https://openaccess-cdn.clevelandart.org/1954.393/1954.393_web.jpg,True
97166,93,https://openaccess-cdn.clevelandart.org/1916.802/1916.802_web.jpg,True
92936,94,https://openaccess-cdn.clevelandart.org/1922.1132/1922.1132_web.jpg,True
149106,95,https://openaccess-cdn.clevelandart.org/1977.37.2/1977.37.2_web.jpg,True
172828,96,https://openaccess-cdn.clevelandart.org/1933.2291/1933.2291_web.jpg,True
148301,97,https://openaccess-cdn.clevelandart.org/1975.3/1975.3_web.jpg,True
99443,98,https://openaccess-cdn.clevelandart.org/1919.1016/1919.1016_web.jpg,True
125247,99,https://openaccess-cdn.clevelandart.org/1947.207/1947.207_web.jpg,True
148297,100,https://openaccess-cdn.clevelandart.org/1975.263/1975.263_web.jpg,True
108555,101,https://openaccess-cdn.clevelandart.org/1926.26/1926.26_web.jpg,True
124092,102,https://openaccess-cdn.clevelandart.org/1944.93/1944.93_web.jpg,True
111479,103,https://openaccess-cdn.clevelandart.org/1929.96/1929.96_web.jpg,True
93234,104,https://openaccess-cdn.clevelandart.org/1926.1653/1926.1653_web.jpg,True
128838,105,https://openaccess-cdn.clevelandart.org/1951.453/1951.453_web.jpg,True
302209,106,https://openaccess-cdn.clevelandart.org/2017.100/2017.100_web.jpg,True
142476,107,https://openaccess-cdn.clevelandart.org/1966.238/1966.238_web.jpg,True
130392,108,https://openaccess-cdn.clevelandart.org/1953.156/1953.156_web.jpg,True
136311,109,https://openaccess-cdn.clevelandart.org/1960.193/1960.193_web.jpg,True
99429,110,https://openaccess-cdn.clevelandart.org/1919.1006/1919.1006_web.jpg,True
163042,111,https://openaccess-cdn.clevelandart.org/2003.6.3/2003.6.3_web.jpg,True
163043,112,https://openaccess-cdn.clevelandart.org/2003.6.4/2003.6.4_web.jpg,True
155871,113,https://openaccess-cdn.clevelandart.org/1991.173/1991.173_web.jpg,True
124679,114,https://openaccess-cdn.clevelandart.org/1946.164/1946.164_web.jpg,True
128074,115,https://openaccess-cdn.clevelandart.org/1950.90/1950.90_web.jpg,True
109507,116,https://openaccess-cdn.clevelandart.org/1928.16/1928.16_web.jpg,True
113164,117,https://openaccess-cdn.clevelandart.org/1932.179/1932.179_web.jpg,True
118679,118,https://openaccess-cdn.clevelandart.org/1939.68/1939.68_web.jpg,True
141549,119,https://openaccess-cdn.clevelandart.org/1965.15/1965.15_web.jpg,True
143803,120,https://openaccess-cdn.clevelandart.org/1968.23/1968.23_web.jpg,True
156813,121,https://openaccess-cdn.clevelandart.org/1992.398/1992.398_web.jpg,True
